Year,Total Vaccinations (per hundred),Total Deaths (per million),Hospitalized Patients (per million),ICU Patients (per million),Positive Rate
2021,136.89,689.675,21.87,6.241,0.0314
2021,137.21,689.701,22.286,6.371,0.0375
2021,137.51,689.857,27.175,8.66,0.0381
2021,137.78,690.325,28.345,9.102,0.0395
2021,138.1,691.236,30.218,9.492,0.0403
2021,138.4,691.392,30.972,9.908,0.0411
2021,138.61,691.626,31.18,9.882,0.0407
2021,138.79,692.276,31.856,10.246,0.04
2021,139.11,692.484,33.494,10.688,0.0419
2021,139.33,692.536,34.821,11.286,0.0439
2021,139.58,692.978,35.783,11.676,0.0446
2021,139.83,693.342,36.485,12.17,0.0452
2021,140.11,694.122,38.695,12.534,0.0457
2021,140.32,694.876,39.943,12.898,0.0459
2021,140.49,695.266,40.906,13.419,0.0467
2021,140.58,695.552,41.92,13.913,0.0375
2021,140.85,695.63,44.39,14.459,0.0484
2021,141.07,695.708,46.627,14.797,0.0482
2021,141.32,696.801,47.329,15.057,0.0495
2021,141.58,697.841,49.721,15.603,0.0495
2021,141.77,698.543,40.698,11.728,0.0477
2021,141.92,699.479,51.542,16.409,0.0484
2021,142.18,699.973,51.828,17.085,0.0605
2021,142.37,700.207,54.688,17.605,0.0509
2021,142.59,701.221,55.104,17.631,0.0503
2021,142.84,701.898,55.234,17.787,0.0484
2021,143.25,702.99,55.702,17.475,0.0479
2021,143.43,703.458,48.421,13.601,0.0479
2021,143.57,704.628,49.435,13.965,0.0457
2021,143.94,704.992,58.745,18.411,0.0444
2021,144.2,705.278,61.372,18.932,0.0433
2021,144.46,706.292,62.152,19.036,0.0424
2021,144.76,707.671,63.322,19.322,0.0419
2021,145.19,708.945,62.88,19.244,0.0403
2021,145.38,710.089,53.31,15.447,0.039
2021,145.56,711.077,54.636,15.889,0.0384
2021,145.88,711.649,64.414,19.53,0.0422
2021,146.08,711.935,65.142,19.712,0.0399
2021,146.34,713.132,64.622,19.842,0.0403
2021,146.6,714.536,55.598,15.863,0.0391
2021,146.84,716.2,63.92,19.348,0.0402
2021,147.0,717.527,55.832,15.733,0.041
2021,147.13,718.827,55.832,15.681,0.0413
2021,147.4,719.425,65.688,19.348,0.0367
2021,147.61,719.607,66.286,19.322,0.0375
2021,147.93,720.855,67.015,18.88,0.0369
2021,148.15,722.129,67.431,18.958,0.0372
2021,148.41,723.742,66.442,18.932,0.036
2021,148.58,724.496,64.778,18.619,0.0358
2021,148.71,725.64,65.22,18.567,0.0357
2021,148.78,725.952,64.986,18.047,0.0271
2021,149.07,726.212,64.908,18.672,0.0334
2021,149.31,726.524,65.194,18.463,0.0326
2021,149.57,728.319,64.154,18.541,0.0333
